COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
42129,0.017,0.07,0.087,0.069,0.172,0.673,0.845,PA
42131,0.035,0.008,0.043,0.049,0.072,0.836,0.908,PA
42133,0.018,0.024,0.042,0.091,0.174,0.693,0.867,PA
MAX,0.147,0.145,0.214,0.258,0.301,0.843,0.954,PA
MIN,0.004,0.002,0.013,0.015,0.061,0.464,0.599,PA
AVERAGE,0.035835821,0.03538806,0.071223881,0.086253731,0.170656716,0.671970149,0.842626866,PA
44001,0.007,0.003,0.01,0.02,0.143,0.827,0.97,RI
44003,0.016,0.003,0.019,0.05,0.123,0.807,0.93,RI
44005,0.004,0.006,0.01,0.046,0.129,0.815,0.944,RI
44007,0.022,0.014,0.036,0.05,0.159,0.754,0.913,RI
44009,0.012,0.022,0.034,0.034,0.126,0.807,0.933,RI
MAX,0.022,0.022,0.036,0.05,0.159,0.827,0.97,RI
MIN,0.004,0.003,0.01,0.02,0.123,0.754,0.913,RI
AVERAGE,0.0122,0.0096,0.0218,0.04,0.136,0.802,0.938,RI
45001,0.117,0.102,0.219,0.243,0.166,0.371,0.537,SC
45003,0.1,0.086,0.186,0.116,0.193,0.505,0.698,SC
45005,0.172,0.211,0.383,0.012,0.22,0.384,0.604,SC
45007,0.069,0.065,0.134,0.138,0.26,0.468,0.728,SC
45009,0.167,0.031,0.198,0.053,0.235,0.515,0.75,SC
45011,0.169,0.067,0.236,0.035,0.281,0.447,0.728,SC
45013,0.038,0.027,0.065,0.055,0.147,0.733,0.88,SC
45015,0.05,0.074,0.124,0.107,0.171,0.597,0.768,SC
45017,0.06,0.047,0.107,0.129,0.173,0.592,0.765,SC
45019,0.036,0.059,0.095,0.062,0.186,0.657,0.843,SC
45021,0.088,0.083,0.171,0.121,0.179,0.528,0.707,SC
45023,0.151,0.065,0.216,0.055,0.23,0.5,0.73,SC
45025,0.117,0.079,0.196,0.148,0.129,0.526,0.655,SC
45027,0.083,0.147,0.23,0.128,0.157,0.486,0.643,SC
45029,0.088,0.077,0.165,0.094,0.1,0.641,0.741,SC
45031,0.153,0.083,0.236,0.114,0.103,0.548,0.651,SC
45033,0.156,0.056,0.212,0.188,0.17,0.43,0.6,SC
45035,0.071,0.071,0.142,0.123,0.16,0.576,0.736,SC
45037,0.099,0.084,0.183,0.083,0.165,0.569,0.734,SC
45039,0.046,0.032,0.078,0.046,0.31,0.566,0.876,SC
45041,0.114,0.08,0.194,0.133,0.109,0.564,0.673,SC
45043,0.04,0.014,0.054,0.079,0.191,0.675,0.866,SC
45045,0.049,0.079,0.128,0.153,0.206,0.513,0.719,SC
45047,0.074,0.087,0.161,0.226,0.151,0.463,0.614,SC
45049,0.13,0.156,0.286,0.025,0.148,0.542,0.69,SC
45051,0.086,0.052,0.138,0.081,0.19,0.591,0.781,SC
45053,0.129,0.055,0.184,0.056,0.201,0.559,0.76,SC
45055,0.062,0.019,0.081,0.114,0.189,0.616,0.805,SC
45057,0.067,0.068,0.135,0.048,0.224,0.594,0.818,SC
45059,0.09,0.102,0.192,0.164,0.214,0.43,0.644,SC
45061,0.123,0.06,0.183,0.154,0.157,0.506,0.663,SC
45063,0.044,0.038,0.082,0.129,0.214,0.576,0.79,SC
45065,0.072,0.115,0.187,0.106,0.202,0.505,0.707,SC
45067,0.28,0.036,0.316,0.182,0.127,0.376,0.503,SC
45069,0.155,0.027,0.182,0.153,0.149,0.515,0.664,SC
45071,0.078,0.128,0.206,0.062,0.202,0.529,0.731,SC
45073,0.142,0.061,0.203,0.103,0.221,0.472,0.693,SC
45075,0.135,0.056,0.191,0.111,0.169,0.529,0.698,SC
45077,0.066,0.059,0.125,0.146,0.236,0.493,0.729,SC
45079,0.03,0.016,0.046,0.099,0.235,0.62,0.855,SC
45081,0.053,0.095,0.148,0.117,0.206,0.529,0.735,SC
45083,0.06,0.091,0.151,0.126,0.227,0.496,0.723,SC
45085,0.128,0.054,0.182,0.154,0.182,0.483,0.665,SC
45087,0.14,0.02,0.16,0.074,0.305,0.462,0.767,SC
45089,0.034,0.057,0.091,0.12,0.158,0.631,0.789,SC
45091,0.057,0.074,0.131,0.062,0.204,0.602,0.806,SC
MAX,0.28,0.211,0.383,0.243,0.31,0.733,0.88,SC
MIN,0.03,0.014,0.046,0.012,0.1,0.371,0.503,SC
AVERAGE,0.097130435,0.070543478,0.167673913,0.109282609,0.19026087,0.532826087,0.723086957,SC
46003,0.239,0.073,0.312,0.236,0.15,0.302,0.452,SD
46005,0.234,0.104,0.338,0.147,0.173,0.342,0.515,SD
46007,0.147,0.052,0.199,0.117,0.327,0.356,0.683,SD
46009,0.108,0.205,0.313,0.198,0.193,0.295,0.488,SD
46011,0.04,0.124,0.164,0.263,0.229,0.345,0.574,SD
46013,0.256,0.098,0.354,0.142,0.166,0.338,0.504,SD
46015,0.163,0.075,0.238,0.168,0.264,0.33,0.594,SD
46017,0.161,0.059,0.22,0.157,0.253,0.371,0.624,SD
46019,0.12,0.085,0.205,0.153,0.204,0.438,0.642,SD
46021,0.155,0.167,0.322,0.122,0.277,0.278,0.555,SD
46023,0.117,0.149,0.266,0.254,0.192,0.288,0.48,SD
46025,0.211,0.147,0.358,0.172,0.125,0.345,0.47,SD
46027,0.091,0.178,0.269,0.116,0.243,0.373,0.616,SD
46029,0.185,0.144,0.329,0.25,0.117,0.305,0.422,SD
46031,0.144,0.19,0.334,0.134,0.285,0.247,0.532,SD
46033,0.132,0.088,0.22,0.156,0.229,0.396,0.625,SD
46035,0.249,0.074,0.323,0.303,0.107,0.267,0.374,SD
46037,0.256,0.14,0.396,0.175,0.118,0.311,0.429,SD
46039,0.136,0.111,0.247,0.275,0.169,0.309,0.478,SD
46041,0.069,0.057,0.126,0.141,0.237,0.497,0.734,SD
46043,0.189,0.108,0.297,0.269,0.146,0.289,0.435,SD
46045,0.217,0.088,0.305,0.15,0.197,0.348,0.545,SD
46047,0.141,0.093,0.234,0.152,0.25,0.364,0.614,SD
46049,0.205,0.079,0.284,0.146,0.198,0.372,0.57,SD
46051,0.259,0.129,0.388,0.232,0.12,0.26,0.38,SD
46053,0.113,0.118,0.231,0.206,0.264,0.299,0.563,SD
46055,0.117,0.051,0.168,0.151,0.241,0.44,0.681,SD
46057,0.119,0.143,0.262,0.256,0.137,0.345,0.482,SD
46059,0.182,0.071,0.253,0.147,0.225,0.376,0.601,SD
46061,0.185,0.107,0.292,0.269,0.148,0.29,0.438,SD
46063,0.105,0.068,0.173,0.145,0.235,0.446,0.681,SD
46065,0.091,0.027,0.118,0.109,0.251,0.523,0.774,SD
46067,0.129,0.163,0.292,0.199,0.188,0.321,0.509,SD
46069,0.142,0.053,0.195,0.142,0.234,0.43,0.664,SD
46071,0.129,0.052,0.181,0.136,0.281,0.401,0.682,SD
46073,0.233,0.073,0.306,0.185,0.184,0.326,0.51,SD
46075,0.115,0.03,0.145,0.101,0.293,0.462,0.755,SD
46077,0.128,0.13,0.258,0.217,0.184,0.341,0.525,SD
46079,0.11,0.144,0.254,0.183,0.237,0.326,0.563,SD
46081,0.124,0.089,0.213,0.154,0.205,0.428,0.633,SD
46083,0.078,0.181,0.259,0.106,0.25,0.385,0.635,SD
46085,0.13,0.046,0.176,0.119,0.287,0.419,0.706,SD
46087,0.113,0.154,0.267,0.144,0.238,0.35,0.588,SD
46089,0.204,0.091,0.295,0.161,0.22,0.323,0.543,SD
46091,0.196,0.146,0.342,0.183,0.161,0.313,0.474,SD
46093,0.123,0.078,0.201,0.161,0.214,0.425,0.639,SD
46095,0.136,0.028,0.164,0.091,0.34,0.405,0.745,SD
46097,0.16,0.123,0.283,0.216,0.218,0.284,0.502,SD
46099,0.087,0.187,0.274,0.106,0.251,0.369,0.62,SD
46101,0.078,0.183,0.261,0.165,0.245,0.329,0.574,SD
46102,0.15,0.075,0.225,0.139,0.281,0.355,0.636,SD
46103,0.127,0.078,0.205,0.159,0.222,0.414,0.636,SD
46105,0.132,0.081,0.213,0.185,0.243,0.36,0.603,SD
46107,0.131,0.067,0.198,0.147,0.225,0.431,0.656,SD
46109,0.241,0.175,0.416,0.164,0.094,0.326,0.42,SD
46111,0.252,0.095,0.347,0.222,0.155,0.276,0.431,SD
46115,0.232,0.103,0.335,0.132,0.173,0.36,0.533,SD
46117,0.08,0.024,0.104,0.104,0.245,0.546,0.791,SD
46119,0.084,0.031,0.115,0.128,0.228,0.528,0.756,SD
46121,0.147,0.031,0.178,0.097,0.368,0.357,0.725,SD
46123,0.142,0.066,0.208,0.138,0.311,0.343,0.654,SD
46125,0.084,0.176,0.26,0.115,0.251,0.375,0.626,SD
46127,0.082,0.177,0.259,0.12,0.204,0.418,0.622,SD
46129,0.14,0.144,0.284,0.132,0.265,0.318,0.583,SD
46135,0.109,0.205,0.314,0.167,0.26,0.259,0.519,SD
46137,0.105,0.053,0.158,0.172,0.235,0.434,0.669,SD
MAX,0.259,0.205,0.416,0.303,0.368,0.546,0.791,SD
MIN,0.04,0.024,0.104,0.091,0.094,0.247,0.374,SD
AVERAGE,0.148318182,0.105060606,0.253378788,0.166681818,0.219090909,0.360939394,0.580030303,SD
47001,0.088,0.105,0.193,0.112,0.215,0.48,0.695,TN
47003,0.164,0.093,0.257,0.246,0.248,0.249,0.497,TN
47005,0.169,0.109,0.278,0.206,0.21,0.306,0.516,TN
47007,0.082,0.122,0.204,0.131,0.251,0.415,0.666,TN
47009,0.069,0.089,0.158,0.097,0.183,0.562,0.745,TN
47011,0.121,0.098,0.219,0.126,0.282,0.373,0.655,TN
47013,0.059,0.075,0.134,0.204,0.109,0.554,0.663,TN
47015,0.209,0.089,0.298,0.238,0.182,0.282,0.464,TN
47017,0.179,0.088,0.267,0.163,0.234,0.337,0.571,TN
47019,0.115,0.031,0.146,0.151,0.215,0.487,0.702,TN
47021,0.018,0.067,0.085,0.155,0.28,0.48,0.76,TN
47023,0.108,0.068,0.176,0.122,0.362,0.34,0.702,TN
47025,0.163,0.114,0.277,0.091,0.236,0.397,0.633,TN
47027,0.099,0.105,0.204,0.264,0.126,0.406,0.532,TN
47029,0.197,0.118,0.315,0.082,0.171,0.431,0.602,TN
47031,0.165,0.09,0.255,0.174,0.208,0.363,0.571,TN
47033,0.14,0.078,0.218,0.123,0.226,0.432,0.658,TN
47035,0.096,0.093,0.189,0.201,0.214,0.395,0.609,TN
47037,0.02,0.037,0.057,0.086,0.181,0.677,0.858,TN
47039,0.175,0.171,0.346,0.168,0.168,0.318,0.486,TN
47041,0.157,0.152,0.309,0.231,0.132,0.328,0.46,TN
47043,0.054,0.076,0.13,0.079,0.336,0.455,0.791,TN
47045,0.175,0.17,0.345,0.12,0.204,0.331,0.535,TN
47047,0.022,0.001,0.023,0.089,0.205,0.682,0.887,TN
47049,0.123,0.122,0.245,0.157,0.162,0.437,0.599,TN
47051,0.166,0.092,0.258,0.13,0.201,0.411,0.612,TN
47053,0.182,0.086,0.268,0.111,0.26,0.361,0.621,TN
47055,0.061,0.068,0.129,0.192,0.237,0.441,0.678,TN
47057,0.126,0.134,0.26,0.129,0.221,0.39,0.611,TN
47059,0.125,0.178,0.303,0.033,0.254,0.41,0.664,TN
47061,0.142,0.165,0.307,0.151,0.212,0.33,0.542,TN
47063,0.157,0.113,0.27,0.121,0.189,0.42,0.609,TN
47065,0.116,0.116,0.232,0.129,0.229,0.411,0.64,TN
47067,0.148,0.243,0.391,0.059,0.14,0.41,0.55,TN
47069,0.035,0.056,0.091,0.215,0.261,0.434,0.695,TN
47071,0.142,0.14,0.282,0.107,0.241,0.371,0.612,TN
47073,0.118,0.146,0.264,0.132,0.196,0.407,0.603,TN
47075,0.086,0.026,0.112,0.169,0.155,0.565,0.72,TN
47077,0.127,0.107,0.234,0.156,0.282,0.327,0.609,TN
47079,0.092,0.09,0.182,0.264,0.207,0.347,0.554,TN
47081,0.063,0.057,0.12,0.082,0.217,0.581,0.798,TN
47083,0.108,0.049,0.157,0.116,0.337,0.39,0.727,TN
47085,0.121,0.095,0.216,0.156,0.267,0.36,0.627,TN
47087,0.138,0.128,0.266,0.249,0.093,0.392,0.485,TN
47089,0.151,0.092,0.243,0.149,0.176,0.431,0.607,TN
47091,0.107,0.079,0.186,0.141,0.261,0.412,0.673,TN
47093,0.036,0.032,0.068,0.144,0.209,0.579,0.788,TN
47095,0.133,0.143,0.276,0.166,0.201,0.357,0.558,TN
47097,0.064,0.094,0.158,0.191,0.142,0.508,0.65,TN
47099,0.074,0.129,0.203,0.156,0.192,0.45,0.642,TN
47101,0.098,0.084,0.182,0.198,0.236,0.385,0.621,TN
47103,0.126,0.187,0.313,0.106,0.214,0.367,0.581,TN
47105,0.041,0.06,0.101,0.107,0.219,0.573,0.792,TN
47107,0.077,0.087,0.164,0.155,0.298,0.384,0.682,TN
47109,0.107,0.105,0.212,0.115,0.274,0.4,0.674,TN
47111,0.146,0.085,0.231,0.215,0.083,0.47,0.553,TN
47113,0.1,0.056,0.156,0.129,0.334,0.381,0.715,TN
47115,0.115,0.122,0.237,0.135,0.247,0.381,0.628,TN
47117,0.219,0.129,0.348,0.139,0.164,0.349,0.513,TN
47119,0.119,0.07,0.189,0.19,0.156,0.466,0.622,TN
47121,0.08,0.118,0.198,0.136,0.214,0.453,0.667,TN
47123,0.07,0.138,0.208,0.165,0.229,0.397,0.626,TN
47125,0.083,0.063,0.146,0.203,0.228,0.423,0.651,TN
47127,0.173,0.101,0.274,0.176,0.235,0.316,0.551,TN
47129,0.08,0.113,0.193,0.077,0.318,0.413,0.731,TN
47131,0.117,0.125,0.242,0.187,0.246,0.325,0.571,TN
47133,0.12,0.131,0.251,0.228,0.128,0.393,0.521,TN
47135,0.18,0.148,0.328,0.137,0.159,0.376,0.535,TN
47137,0.105,0.128,0.233,0.219,0.133,0.416,0.549,TN
47139,0.089,0.069,0.158,0.15,0.24,0.452,0.692,TN
47141,0.16,0.164,0.324,0.207,0.099,0.369,0.468,TN
47143,0.096,0.154,0.25,0.113,0.154,0.483,0.637,TN
47145,0.074,0.142,0.216,0.105,0.274,0.405,0.679,TN
47147,0.187,0.069,0.256,0.081,0.159,0.504,0.663,TN
47149,0.081,0.073,0.154,0.121,0.215,0.51,0.725,TN
47151,0.121,0.144,0.265,0.154,0.219,0.362,0.581,TN
47153,0.108,0.087,0.195,0.177,0.289,0.339,0.628,TN
47155,0.039,0.072,0.111,0.15,0.183,0.556,0.739,TN
47157,0.034,0.025,0.059,0.105,0.184,0.653,0.837,TN
47159,0.088,0.091,0.179,0.202,0.113,0.507,0.62,TN
47161,0.071,0.045,0.116,0.15,0.214,0.521,0.735,TN
47163,0.096,0.091,0.187,0.143,0.187,0.483,0.67,TN
47165,0.104,0.069,0.173,0.14,0.196,0.49,0.686,TN
47167,0.081,0.025,0.106,0.223,0.138,0.533,0.671,TN
47169,0.112,0.063,0.175,0.241,0.133,0.452,0.585,TN
47171,0.049,0.041,0.09,0.108,0.306,0.497,0.803,TN
47173,0.086,0.145,0.231,0.167,0.181,0.421,0.602,TN
47175,0.145,0.147,0.292,0.147,0.239,0.323,0.562,TN
47177,0.14,0.107,0.247,0.189,0.212,0.352,0.564,TN
47179,0.061,0.074,0.135,0.166,0.218,0.48,0.698,TN
47181,0.089,0.215,0.304,0.136,0.147,0.414,0.561,TN
47183,0.093,0.135,0.228,0.228,0.251,0.292,0.543,TN
47185,0.185,0.205,0.39,0.162,0.115,0.333,0.448,TN
47187,0.019,0.073,0.092,0.091,0.212,0.604,0.816,TN
47189,0.105,0.035,0.14,0.099,0.192,0.568,0.76,TN
MAX,0.219,0.243,0.391,0.264,0.362,0.682,0.887,TN
MIN,0.018,0.001,0.023,0.033,0.083,0.249,0.448,TN
AVERAGE,0.110042105,0.101357895,0.2114,0.151957895,0.209526316,0.427189474,0.636715789,TN
48001,0.172,0.104,0.276,0.095,0.088,0.541,0.629,TX
48003,0.09,0.044,0.134,0.067,0.202,0.597,0.799,TX
48005,0.121,0.064,0.185,0.079,0.2,0.536,0.736,TX
48007,0.006,0.005,0.011,0.17,0.074,0.746,0.82,TX
48009,0.081,0.053,0.134,0.099,0.091,0.676,0.767,TX
48011,0.08,0.066,0.146,0.116,0.25,0.488,0.738,TX
48013,0.001,0.01,0.011,0.032,0.156,0.802,0.958,TX
48015,0.006,0.024,0.03,0.054,0.224,0.692,0.916,TX
48017,0.018,0.106,0.124,0.06,0.217,0.598,0.815,TX
48019,0.073,0.018,0.091,0.07,0.09,0.749,0.839,TX
48021,0.007,0.02,0.027,0.084,0.161,0.729,0.89,TX
48023,0.066,0.075,0.141,0.134,0.104,0.62,0.724,TX
48025,0.001,0.003,0.004,0.052,0.19,0.753,0.943,TX
48027,0.01,0.035,0.045,0.078,0.205,0.672,0.877,TX
48029,0.015,0.016,0.031,0.057,0.09,0.822,0.912,TX
48031,0.005,0.019,0.024,0.115,0.074,0.788,0.862,TX
48033,0.039,0.115,0.154,0.125,0.107,0.614,0.721,TX
48035,0.031,0.154,0.185,0.102,0.248,0.465,0.713,TX
48037,0.058,0.134,0.192,0.114,0.221,0.473,0.694,TX
48039,0.021,0.042,0.063,0.075,0.17,0.691,0.861,TX
48041,0.012,0.038,0.05,0.067,0.347,0.537,0.884,TX
48043,0.011,0.012,0.023,0.077,0.172,0.728,0.9,TX
48045,0.105,0.077,0.182,0.113,0.187,0.518,0.705,TX
48047,0.061,0.004,0.065,0.166,0.09,0.678,0.768,TX
48049,0.085,0.077,0.162,0.066,0.239,0.534,0.773,TX
48051,0.02,0.072,0.092,0.071,0.281,0.555,0.836,TX
48053,0.031,0.039,0.07,0.055,0.194,0.682,0.876,TX
48055,0.001,0.001,0.002,0.063,0.185,0.751,0.936,TX
48057,0.019,0.028,0.047,0.179,0.071,0.703,0.774,TX
48059,0.049,0.06,0.109,0.119,0.205,0.567,0.772,TX
48061,0.035,0.061,0.096,0.034,0.056,0.813,0.869,TX
48063,0.017,0.064,0.081,0.213,0.235,0.471,0.706,TX
48065,0.099,0.064,0.163,0.124,0.252,0.462,0.714,TX
48067,0.034,0.145,0.179,0.17,0.209,0.441,0.65,TX
48069,0.057,0.051,0.108,0.043,0.296,0.553,0.849,TX
48071,0.027,0.094,0.121,0.078,0.201,0.6,0.801,TX
48073,0.123,0.063,0.186,0.148,0.192,0.475,0.667,TX
48075,0.147,0.124,0.271,0.189,0.206,0.334,0.54,TX
48077,0.066,0.049,0.115,0.105,0.087,0.693,0.78,TX
48079,0.029,0.078,0.107,0.068,0.229,0.595,0.824,TX
48081,0.039,0.056,0.095,0.093,0.241,0.572,0.813,TX
48083,0.053,0.048,0.101,0.084,0.259,0.556,0.815,TX
48085,0.021,0.026,0.047,0.054,0.181,0.719,0.9,TX
48087,0.239,0.142,0.381,0.176,0.16,0.284,0.444,TX
48089,0.004,0.044,0.048,0.078,0.228,0.645,0.873,TX
48091,0.007,0.044,0.051,0.063,0.146,0.74,0.886,TX
48093,0.045,0.075,0.12,0.059,0.2,0.621,0.821,TX
48095,0.012,0.029,0.041,0.072,0.279,0.607,0.886,TX
48097,0.118,0.026,0.144,0.056,0.207,0.594,0.801,TX
48099,0.015,0.027,0.042,0.142,0.194,0.622,0.816,TX
48101,0.107,0.106,0.213,0.188,0.176,0.423,0.599,TX
48103,0.08,0.056,0.136,0.096,0.199,0.57,0.769,TX
48105,0.026,0.071,0.097,0.072,0.225,0.606,0.831,TX
48107,0.031,0.071,0.102,0.058,0.227,0.613,0.84,TX
48109,0.125,0.006,0.131,0.039,0.176,0.654,0.83,TX
48111,0.119,0.074,0.193,0.123,0.289,0.396,0.685,TX
48113,0.024,0.019,0.043,0.059,0.141,0.757,0.898,TX
48115,0.03,0.023,0.053,0.074,0.115,0.759,0.874,TX
48117,0.063,0.063,0.126,0.095,0.284,0.494,0.778,TX
48119,0.04,0.074,0.114,0.094,0.285,0.507,0.792,TX
48121,0.016,0.025,0.041,0.046,0.204,0.709,0.913,TX
48123,0.003,0.019,0.022,0.091,0.061,0.827,0.888,TX
48125,0.032,0.071,0.103,0.111,0.254,0.532,0.786,TX
48127,0.021,0.059,0.08,0.097,0.133,0.69,0.823,TX
48129,0.139,0.065,0.204,0.147,0.21,0.439,0.649,TX
48131,0.122,0.003,0.125,0.132,0.053,0.691,0.744,TX
48133,0.055,0.089,0.144,0.104,0.195,0.557,0.752,TX
48135,0.085,0.047,0.132,0.076,0.204,0.588,0.792,TX
48137,0.016,0.047,0.063,0.145,0.101,0.691,0.792,TX
48139,0.027,0.017,0.044,0.044,0.19,0.722,0.912,TX
48141,0.007,0.007,0.014,0.033,0.075,0.877,0.952,TX
48143,0.017,0.096,0.113,0.075,0.202,0.609,0.811,TX
48145,0.009,0.029,0.038,0.061,0.187,0.715,0.902,TX
48147,0.117,0.126,0.243,0.131,0.226,0.4,0.626,TX
48149,0.006,0.05,0.056,0.259,0.142,0.543,0.685,TX
48151,0.097,0.097,0.194,0.109,0.186,0.51,0.696,TX
48153,0.049,0.063,0.112,0.043,0.216,0.629,0.845,TX
48155,0.045,0.101,0.146,0.23,0.147,0.477,0.624,TX
48157,0.024,0.03,0.054,0.057,0.115,0.774,0.889,TX
48159,0.013,0.055,0.068,0.131,0.327,0.474,0.801,TX
48161,0.025,0.121,0.146,0.085,0.137,0.632,0.769,TX
48163,0.136,0.007,0.143,0.038,0.108,0.71,0.818,TX
48165,0.121,0.034,0.155,0.033,0.176,0.636,0.812,TX
48167,0.033,0.037,0.07,0.105,0.207,0.617,0.824,TX
48169,0.034,0.079,0.113,0.067,0.207,0.612,0.819,TX
48171,0.095,0.091,0.186,0.107,0.114,0.592,0.706,TX
48173,0.069,0.054,0.123,0.058,0.234,0.586,0.82,TX
48175,0.001,0.025,0.026,0.16,0.077,0.737,0.814,TX
48177,0.001,0.001,0.002,0.091,0.078,0.828,0.906,TX
48179,0.139,0.069,0.208,0.134,0.222,0.436,0.658,TX
48181,0.064,0.063,0.127,0.095,0.247,0.53,0.777,TX
48183,0.053,0.064,0.117,0.074,0.186,0.623,0.809,TX
48185,0.025,0.047,0.072,0.04,0.348,0.54,0.888,TX
48187,0.027,0.022,0.049,0.032,0.125,0.794,0.919,TX
48189,0.066,0.058,0.124,0.028,0.239,0.609,0.848,TX
48191,0.179,0.065,0.244,0.19,0.157,0.41,0.567,TX
48193,0.019,0.085,0.104,0.137,0.267,0.493,0.76,TX
48195,0.136,0.076,0.212,0.126,0.234,0.428,0.662,TX
48197,0.042,0.116,0.158,0.237,0.223,0.381,0.604,TX
48199,0.021,0.054,0.075,0.102,0.187,0.636,0.823,TX
48201,0.019,0.024,0.043,0.069,0.152,0.736,0.888,TX
48203,0.086,0.037,0.123,0.088,0.19,0.599,0.789,TX
48205,0.1,0.07,0.17,0.116,0.28,0.434,0.714,TX
48207,0.087,0.128,0.215,0.137,0.209,0.439,0.648,TX
48209,0,0.007,0.007,0.022,0.115,0.855,0.97,TX
48211,0.189,0.125,0.314,0.139,0.138,0.409,0.547,TX
48213,0.043,0.072,0.115,0.127,0.197,0.56,0.757,TX
48215,0.055,0.003,0.058,0.033,0.084,0.826,0.91,TX
48217,0.047,0.083,0.13,0.029,0.242,0.599,0.841,TX
48219,0.031,0.072,0.103,0.06,0.237,0.6,0.837,TX
48221,0.009,0.122,0.131,0.135,0.124,0.61,0.734,TX
48223,0.054,0.026,0.08,0.062,0.369,0.488,0.857,TX
48225,0.182,0.09,0.272,0.104,0.15,0.474,0.624,TX
48227,0.063,0.063,0.126,0.061,0.218,0.596,0.814,TX
48229,0.013,0.003,0.016,0.076,0.029,0.88,0.909,TX
48231,0.069,0.072,0.141,0.082,0.285,0.492,0.777,TX
48233,0.112,0.064,0.176,0.128,0.249,0.447,0.696,TX
48235,0.009,0.047,0.056,0.058,0.276,0.61,0.886,TX
48237,0.009,0.018,0.027,0.012,0.37,0.592,0.962,TX
48239,0.02,0.062,0.082,0.146,0.075,0.696,0.771,TX
48241,0.04,0.055,0.095,0.068,0.125,0.712,0.837,TX
48243,0.009,0.005,0.014,0.038,0.186,0.763,0.949,TX
48245,0.036,0.075,0.111,0.11,0.171,0.608,0.779,TX
48247,0.071,0.003,0.074,0.079,0.099,0.748,0.847,TX
48249,0.057,0.007,0.064,0.137,0.051,0.748,0.799,TX
48251,0.024,0.079,0.103,0.056,0.199,0.642,0.841,TX
48253,0.064,0.079,0.143,0.121,0.193,0.543,0.736,TX
48255,0,0.001,0.001,0.104,0.145,0.75,0.895,TX
48257,0.063,0.058,0.121,0.041,0.155,0.682,0.837,TX
48259,0.002,0.059,0.061,0.076,0.158,0.705,0.863,TX
48261,0.04,0.01,0.05,0.08,0.098,0.772,0.87,TX
48263,0.069,0.168,0.237,0.172,0.167,0.424,0.591,TX
48265,0.059,0.149,0.208,0.167,0.154,0.472,0.626,TX
48267,0.036,0.126,0.162,0.165,0.207,0.466,0.673,TX
48269,0.065,0.108,0.173,0.177,0.254,0.397,0.651,TX
48271,0.004,0.059,0.063,0.121,0.084,0.733,0.817,TX
48273,0.063,0.015,0.078,0.075,0.121,0.726,0.847,TX
48275,0.063,0.105,0.168,0.184,0.145,0.502,0.647,TX
48277,0.054,0.095,0.149,0.135,0.238,0.478,0.716,TX
48279,0.038,0.065,0.103,0.046,0.255,0.597,0.852,TX
48281,0.024,0.019,0.043,0.077,0.233,0.648,0.881,TX
48283,0.152,0.002,0.154,0.083,0.097,0.667,0.764,TX
48285,0.008,0.029,0.037,0.114,0.114,0.736,0.85,TX
48287,0.035,0.122,0.157,0.148,0.142,0.553,0.695,TX
48289,0.089,0.078,0.167,0.111,0.192,0.531,0.723,TX
48291,0.019,0.034,0.053,0.114,0.182,0.65,0.832,TX
48293,0.005,0.086,0.091,0.061,0.087,0.762,0.849,TX
48295,0.147,0.143,0.29,0.099,0.195,0.415,0.61,TX
48297,0.005,0.003,0.008,0.081,0.189,0.722,0.911,TX
48299,0.08,0.036,0.116,0.056,0.214,0.615,0.829,TX
48301,0.109,0.047,0.156,0.081,0.221,0.543,0.764,TX
48303,0.031,0.072,0.103,0.056,0.232,0.61,0.842,TX
48305,0.032,0.068,0.1,0.054,0.222,0.624,0.846,TX
48307,0.031,0.053,0.084,0.09,0.34,0.486,0.826,TX
48309,0.022,0.049,0.071,0.046,0.161,0.721,0.882,TX
48311,0.043,0.002,0.045,0.21,0.203,0.542,0.745,TX
48313,0.065,0.032,0.097,0.097,0.337,0.469,0.806,TX
48315,0.076,0.067,0.143,0.118,0.211,0.528,0.739,TX
48317,0.075,0.043,0.118,0.056,0.235,0.591,0.826,TX
48319,0.043,0.091,0.134,0.163,0.247,0.456,0.703,TX
48321,0.004,0.051,0.055,0.113,0.161,0.67,0.831,TX
48323,0.005,0.091,0.096,0.129,0.13,0.645,0.775,TX
48325,0.006,0.017,0.023,0.07,0.155,0.753,0.908,TX
48327,0.013,0.048,0.061,0.088,0.289,0.562,0.851,TX
48329,0.083,0.044,0.127,0.066,0.219,0.588,0.807,TX
48331,0.006,0.019,0.025,0.07,0.228,0.679,0.907,TX
48333,0.041,0.117,0.158,0.062,0.261,0.518,0.779,TX
48335,0.168,0.131,0.299,0.087,0.126,0.489,0.615,TX
48337,0.041,0.08,0.121,0.129,0.22,0.529,0.749,TX
48339,0.031,0.073,0.104,0.061,0.145,0.69,0.835,TX
48341,0.101,0.064,0.165,0.123,0.27,0.441,0.711,TX
48343,0.038,0.116,0.154,0.21,0.176,0.46,0.636,TX
48345,0.067,0.053,0.12,0.084,0.206,0.591,0.797,TX
48347,0.094,0.06,0.154,0.097,0.221,0.528,0.749,TX
48349,0.006,0.024,0.03,0.114,0.217,0.639,0.856,TX
48351,0.057,0.049,0.106,0.11,0.152,0.631,0.783,TX
